Company Name,Company Description,Unnamed: 2,Website URL,Linkedin URL,Careers Page URL,Job listings page URL,job post1 URL,job post1 title,job post2 URL,job post2 title,job post3 URL,job post3 title
Forest Stewardship Council,Promoting sustainable forestry to combat climate and biodiversity crises globally.,Example1-,https://fsc.org/en,https://www.linkedin.com/company/fsc-international-bonn,https://fsc.org/en/careers-at-fsc,,https://fsc.org/en/careers-at-fsc/en/work-with-us/director-system-integrity-m-f-d,View Job →,https://fsc.org/en/careers-at-fsc/en/work-with-us/director-system-integrity-m-f-d,View Job →,https://fsc.org/en/careers-at-fsc/en/work-with-us/director-system-integrity-m-f-d,View Job →
Polestar,Driving society forward with uncompromised electric performance and progressive innovation.,Example2-,https://investors.polestar.com/about,https://www.linkedin.com/company/polestar-princeton,,,https://polestar.teamtailor.com/jobs/5648292-controller-brand-marketing-pr-events,"Controller | Brand & Marketing, PR & Events",https://polestar.teamtailor.com/jobs/5642478-financial-controller-manufacturing,Financial Controller Manufacturing,https://polestar.teamtailor.com/jobs/5587912-senior-business-controller-polestar-sweden,Senior Business Controller | Polestar Sweden
Sweep,Streamline carbon management and reduction across your business with comprehensive software solutions.,,https://www.sweep.net/,https://fr.linkedin.com/company/sweep-softwareforsustainability,https://sweep.teamtailor.com/,,,,,,,
Climate Bonds Initiative,Mobilizing $100 trillion bond market for global climate solutions.,,https://www.climatebonds.net/,https://uk.linkedin.com/company/climate-bonds-initiative,https://www.climatebonds.net/about/careers,,,,,,,
Fuse Energy,Accelerating global renewable energy transition with comprehensive solutions.,,https://www.f.energy/,https://www.linkedin.com/company/fuseenergyhq,https://www.f.energy/join-us,,,,,,,
ESG Book,"Transforming sustainability data access for 50,000+ companies to drive impactful climate solutions.",,https://www.esgbook.com/,https://uk.linkedin.com/company/esgbook,,,,,,,,
Altruistiq,Automate and optimize corporate sustainability data for impactful climate action.,,https://altruistiq.com/,https://uk.linkedin.com/company/exableruk,https://altruistiq.com/about-us/careers,,,,,,,
Tandem,Banking solutions that promote green finance and support eco-friendly financial decisions.,,https://www.tandem.co.uk/,https://uk.linkedin.com/company/tandem-bank,https://www.tandem.co.uk/careers,https://jobs.lever.co/truetandem,https://jobs.lever.co/truetandem/287b1362-0050-4baa-ad9b-98e4a19691f9,Apply,https://jobs.lever.co/truetandem/287b1362-0050-4baa-ad9b-98e4a19691f9,Apply,https://jobs.lever.co/truetandem/287b1362-0050-4baa-ad9b-98e4a19691f9,Apply
Willow,"Optimize buildings for security, sustainability, and efficiency with real-time integrated facility management.",,https://willowinc.com/,https://www.linkedin.com/company/willowinc,https://willowinc.com/careers,https://jobs.lever.co/willowinc,https://jobs.lever.co/willowinc/90058afa-7500-416b-bb05-b52300eedd17,Apply,https://jobs.lever.co/willowinc/90058afa-7500-416b-bb05-b52300eedd17,Apply,https://jobs.lever.co/willowinc/90058afa-7500-416b-bb05-b52300eedd17,Apply
Qwello,Designing user-focused EV chargers to accelerate Europe's electric transition and climate goals.,,https://qwello.eu/en/,https://de.linkedin.com/company/qwello,https://qwello.eu/en/careers,https://jobs.lever.co/qwello.eu,https://jobs.lever.co/qwello.eu/d4bd6805-2ad4-4b4a-b57a-7f712f4fd073,Apply,https://jobs.lever.co/qwello.eu/d4bd6805-2ad4-4b4a-b57a-7f712f4fd073,Apply,https://jobs.lever.co/qwello.eu/d4bd6805-2ad4-4b4a-b57a-7f712f4fd073,Apply
Node energy,Optimize energy systems for real estate to cut CO2 emissions and costs.,,https://www.thesaasnews.com/news/node-energy-raised-7-million-in-a-series-a-round,https://www.linkedin.com/company/nodeenergy/,,,,,,,,
Exponent Energy,Accelerating the energy shift to scale electric vehicles globally.,,https://www.exponent.energy/,https://in.linkedin.com/company/exponent-energy,https://www.exponent.energy/careers,,,,,,,
HITACHI ENERGY,Advancing sustainable energy systems towards a carbon-neutral future.,,https://www.hitachienergy.com/,https://ch.linkedin.com/company/hitachienergy,https://www.hitachienergy.com/careers,,https://www.hitachienergy.com/careers/careers/open-jobs,Open Jobs,https://www.hitachienergy.com/careers/careers/about-us,About Us,https://www.hitachienergy.com/careers/careers/about-us/why-work-with-us,Why Work With Us
